Tamaño Matriz, Tiempo Fila, Tiempo Columna
700x950, 4998, 4641
750x0, 6, 5
750x50, 277, 290
750x100, 604, 591
750x150, 873, 866
750x200, 1170, 1180
750x250, 1451, 1436
750x300, 1764, 1688
750x350, 2090, 1981
750x400, 2384, 2345
750x450, 2705, 2526
750x500, 2977, 2891
750x550, 3330, 3070
750x600, 3588, 3339
750x650, 3811, 3637
750x700, 4148, 3887
750x750, 4383, 4154
750x800, 4662, 4470
750x850, 4949, 4739
750x900, 5362, 5059
750x950, 5536, 5271
800x0, 7, 5
800x50, 315, 316
800x100, 663, 660
800x150, 1075, 1075
800x200, 1359, 1312
800x250, 1673, 1647
800x300, 2200, 1938
800x350, 2372, 2241
800x400, 3093, 2660
800x450, 3036, 2853
800x500, 3383, 3177
800x550, 3750, 3648
800x600, 4222, 3895
800x650, 4723, 4161
800x700, 4891, 4514
800x750, 5258, 4874
800x800, 5836, 5203
800x850, 5905, 5640
800x900, 6434, 5874
800x950, 6773, 6216
850x0, 8, 7
850x50, 367, 362
850x100, 786, 764
850x150, 1148, 1144
850x200, 1553, 1517
850x250, 1957, 1836
850x300, 2368, 2209
850x350, 2779, 2559
850x400, 3152, 2964
850x450, 3568, 3397
850x500, 4137, 3682
850x550, 4376, 4038
850x600, 4791, 4554
850x650, 5181, 4841
850x700, 5559, 5146
850x750, 5971, 5622
850x800, 6538, 6495
850x850, 6877, 6364
850x900, 7112, 6597
850x950, 7551, 7011
900x0, 7, 6
900x50, 410, 416
900x100, 868, 851
900x150, 1320, 1291
900x200, 1738, 1735
900x250, 2420, 2113
900x300, 2664, 2484
900x350, 3070, 3112
900x400, 3553, 3288
900x450, 4021, 3687
900x500, 4498, 4143
900x550, 4953, 4549
900x600, 5328, 4965
900x650, 5816, 5456
900x700, 6404, 5949
900x750, 6648, 6343
900x800, 7020, 6599
900x850, 7538, 6975
900x900, 7950, 7428
900x950, 8467, 7852
950x0, 8, 8
950x50, 457, 458
950x100, 989, 976
950x150, 1444, 1430
950x200, 1927, 1879
950x250, 2383, 2326
950x300, 3032, 2778
950x350, 3461, 3210
950x400, 4005, 3691
950x450, 4507, 4136
950x500, 5297, 4678
950x550, 5437, 5161
950x600, 6020, 5524
950x650, 6806, 6081
950x700, 7090, 6430
950x750, 7448, 6839
950x800, 7871, 7352
950x850, 8586, 7848
950x900, 8851, 8307
950x950, 9520, 8726
